"Mortality from CVD, cancer, diabetes or CRD",Male Survival to age 65,0.407847913
Energy depletion,Male Survival to age 65,0.405037317
Life expectancy,Greenhouse gas emissions,0.404000062
Mortality rate attributed to air pollution,Infant mortality rate,0.403670037
Natural resources depletion,Male Survival to age 65,0.398783043
Adult male mortality rate,Greenhouse gas emissions,0.39682693
Annual freshwater withdrawals,Life expectancy,0.394918297
Water stress,Male Survival to age 65,0.390302559
Annual freshwater withdrawals,Water stress,0.389816247
Net forest depletion,"Mortality from CVD, cancer, diabetes or CRD",0.384690882
Adult female mortality rate,Greenhouse gas emissions,0.383105535
Female Survival to age 65,Greenhouse gas emissions,0.38148218
Carbon dioxide damage,Methane emissions,0.369433402
CO2 emissions,"Mortality from CVD, cancer, diabetes or CRD",0.367284666
Fertility rate,Air pollution,0.366778143
Life expectancy,"Mortality from CVD, cancer, diabetes or CRD",0.366695694
Infant mortality rate,Greenhouse gas emissions,0.365387084
Carbon dioxide damage,Adult male mortality rate,0.36496517
Carbon dioxide damage,Diabetes prevalence,0.362019519
Mineral depletion,"Mortality from CVD, cancer, diabetes or CRD",0.359464695
Water stress,Nitrous oxide emissions,0.348553207
Mineral depletion,CO2 emissions,0.346489236
Water stress,Adult male mortality rate,0.346272908
"Mortality from CVD, cancer, diabetes or CRD",Adult female mortality rate,0.345953057
Particulate emission damage,"Mortality from CVD, cancer, diabetes or CRD",0.344667665
Energy depletion,Diabetes prevalence,0.341876433
Death rate,Methane emissions,0.341730894
Energy depletion,Mineral depletion,0.340118094
Natural resources depletion,Diabetes prevalence,0.338259129
Energy depletion,Methane emissions,0.337527726
CO2 emissions,Methane emissions,0.336183147
Mineral depletion,Natural resources depletion,0.331042813
Water stress,Infant mortality rate,0.330892173
Diabetes prevalence,Air pollution,0.330830315
Net forest depletion,CO2 emissions,0.330637416
Natural resources depletion,Air pollution,0.328539858
Energy depletion,Particulate emission damage,0.326544865
Energy depletion,Air pollution,0.32625481
Natural resources depletion,Methane emissions,0.325857061
Energy depletion,Infant mortality rate,0.323208461
Energy depletion,Net forest depletion,0.322817393
Water stress,Adult female mortality rate,0.322813595
Fertility rate,Water stress,0.322297406
Life expectancy,Nitrous oxide emissions,0.320648349
Natural resources depletion,Infant mortality rate,0.315209422
Energy depletion,Adult female mortality rate,0.314989855
Natural resources depletion,Particulate emission damage,0.313747692
Natural resources depletion,Adult female mortality rate,0.308991209
Energy depletion,Adult male mortality rate,0.308981811
Natural resources depletion,Net forest depletion,0.308792804
Mortality rate attributed to air pollution,Adult female mortality rate,0.307008572
Natural resources depletion,Adult male mortality rate,0.305853252
Nitrous oxide emissions,Greenhouse gas emissions,0.30500361
Mortality rate attributed to air pollution,Female Survival to age 65,0.303861333
Water stress,Mortality rate attributed to air pollution,0.303779077
Nitrous oxide emissions,Female Survival to age 65,0.303737111
Nitrous oxide emissions,Male Survival to age 65,0.29682616
Water stress,Methane emissions,0.295007839
Diabetes prevalence,Mortality rate attributed to air pollution,0.28636451
Mortality rate attributed to air pollution,Male Survival to age 65,0.286198509
Death rate,Nitrous oxide emissions,0.284499988
Net forest depletion,Life expectancy,0.277947136
Particulate emission damage,CO2 emissions,0.27558392
Mineral depletion,Life expectancy,0.275040604
Life expectancy,Mortality rate attributed to air pollution,0.274840212
Particulate emission damage,Life expectancy,0.274174207
"Mortality from CVD, cancer, diabetes or CRD",Infant mortality rate,0.274087396
Death rate,Greenhouse gas emissions,0.272012509
Diabetes prevalence,"Mortality from CVD, cancer, diabetes or CRD",0.263128578
Carbon dioxide damage,Water stress,0.261734115
Carbon dioxide damage,Air pollution,0.254985333
Methane emissions,Mortality rate attributed to air pollution,0.254428531
Carbon dioxide damage,CO2 emissions,0.250812327
Adult male mortality rate,Nitrous oxide emissions,0.249126986
Adult female mortality rate,Nitrous oxide emissions,0.247874402
Death rate,Fertility rate,0.247760433
Particulate emission damage,Water stress,0.24388963
Annual freshwater withdrawals,Female Survival to age 65,0.239608014
"Mortality from CVD, cancer, diabetes or CRD",Female Survival to age 65,0.231000121
Death rate,"Mortality from CVD, cancer, diabetes or CRD",0.230249954
Annual freshwater withdrawals,Fertility rate,0.229905788
Diabetes prevalence,Nitrous oxide emissions,0.221104953
Mortality rate attributed to air pollution,Adult male mortality rate,0.218653529
Net forest depletion,Methane emissions,0.216048808
Diabetes prevalence,Water stress,0.214112813
Carbon dioxide damage,Mortality rate attributed to air pollution,0.213634537
Mineral depletion,Mortality rate attributed to air pollution,0.213170469
Net forest depletion,Water stress,0.207915686
Methane emissions,"Mortality from CVD, cancer, diabetes or CRD",0.205276474
Annual freshwater withdrawals,Mortality rate attributed to air pollution,0.203062098
Mineral depletion,Methane emissions,0.200576432
Carbon dioxide damage,Annual freshwater withdrawals,0.200007092
Fertility rate,"Mortality from CVD, cancer, diabetes or CRD",0.199523703
Particulate emission damage,Methane emissions,0.198101092
Mineral depletion,Water stress,0.197120138
,,
